customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,payment_sequential_x,payment_type_x,payment_installments_x,payment_value_x,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,payment_sequential_y,payment_type_y,payment_installments_y,payment_value_y,seller_zip_code_prefix,seller_city,seller_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,delivery_time_day,weight_category,size_category,weight-size
f681356046d9fde60e70c73a18d65ea2,5f102dd37243f152aec3607970aad100,9121,santo andre,SP,daf946e879dab6e7e6b3f968297c3fe3,delivered,2018-02-09 13:46:04,2018-02-09 14:08:53,2018-02-14 23:35:06,2018-02-15 22:41:29,2018-02-23 00:00:00,cbc912e5918e710e5f5cf60f83f16b66,5,-,-,2018-02-17 00:00:00,2018-02-18 00:31:09,1,credit_card,5,56.78,1,d2d39433df84064b1556612cc52cefca,6560211a19b47992c3666cc44a7e94c0,2018-02-15 14:08:53,49,7.78,1,credit_card,5,56.78,5849,sao paulo,SP,relogios_presentes,54,199,5,250,16,2,20,watches_gifts,1,Light,Small,Light-Small
4a0e66fd30684aa1409cd1b66fec77cc,86085586aaa8c5f47ed0b400da64c59d,7176,guarulhos,SP,42cebac003b40e6aa0b3e37b99d83c2f,delivered,2018-07-06 14:29:57,2018-07-10 04:05:12,2018-07-10 15:06:00,2018-07-11 17:35:50,2018-07-19 00:00:00,3d467c4cd71a1c9d49f81cd83bd3a87f,5,-,Excelente.,2018-07-14 00:00:00,2018-07-14 16:40:27,1,boleto,1,85.81,1,a92930c327948861c015c919a0bcb4a8,6560211a19b47992c3666cc44a7e94c0,2018-07-12 04:05:12,78,7.81,1,boleto,1,85.81,5849,sao paulo,SP,relogios_presentes,59,319,4,250,16,2,20,watches_gifts,1,Light,Small,Light-Small
70a8cfb1730fd53e5c15f2a62e1e5448,29f61e71b90b55a988f45a66bb91bfb7,6382,carapicuiba,SP,eb7ac481803eb5bc5b7cfe431a03d39a,delivered,2017-09-13 21:41:43,2017-09-13 21:55:11,2017-09-14 16:54:04,2017-09-15 19:36:35,2017-09-25 00:00:00,da8ec15d9eaa860f6f27837873bdea44,1,-,-,2017-09-16 00:00:00,2017-09-24 14:00:31,1,credit_card,2,36.78,1,2136c70bbe723d338fab53da3c03e6dc,6560211a19b47992c3666cc44a7e94c0,2017-09-19 21:55:11,29,7.78,1,credit_card,2,36.78,5849,sao paulo,SP,relogios_presentes,55,167,3,200,16,2,11,watches_gifts,1,Light,Small,Light-Small
f0bbb754a5855f669094d5049c09c548,30a7c7292c38ac22477fcb75306ac4ef,78600,barra do garcas,MT,6f6938612fdf53d7b863eec877c1fbfe,delivered,2018-04-10 18:27:06,2018-04-10 18:35:14,2018-04-11 20:50:30,2018-04-17 18:06:46,2018-05-10 00:00:00,3397ce253cdb4ef3fa6efaa47de330b2,4,-,-,2018-04-18 00:00:00,2018-04-18 22:32:51,1,credit_card,3,100.26,1,a92930c327948861c015c919a0bcb4a8,6560211a19b47992c3666cc44a7e94c0,2018-04-16 18:35:14,78,22.26,1,credit_card,3,100.26,5849,sao paulo,SP,relogios_presentes,59,319,4,250,16,2,20,watches_gifts,6,Light,Small,Light-Small
cfde53fd036308dba103823ba561b885,610d3e47ad4921adc40aa9fd6bbeeaa5,12270,jambeiro,SP,db7374d1f9c8965e0fbbc1fd1cc916fe,delivered,2018-08-14 17:38:24,2018-08-15 03:15:16,2018-08-16 11:54:00,2018-08-21 17:08:32,2018-09-14 00:00:00,8c43499cf0905ba311ce822697146121,5,-,-,2018-08-22 00:00:00,2018-08-22 21:43:33,1,boleto,1,112.98,1,d2c7a1e57b8f3e74095798f867334b36,6560211a19b47992c3666cc44a7e94c0,2018-08-17 03:15:16,49,9.49,1,boleto,1,112.98,5849,sao paulo,SP,relogios_presentes,52,222,5,300,16,2,11,watches_gifts,5,Light,Small,Light-Small
cfde53fd036308dba103823ba561b885,610d3e47ad4921adc40aa9fd6bbeeaa5,12270,jambeiro,SP,db7374d1f9c8965e0fbbc1fd1cc916fe,delivered,2018-08-14 17:38:24,2018-08-15 03:15:16,2018-08-16 11:54:00,2018-08-21 17:08:32,2018-09-14 00:00:00,8c43499cf0905ba311ce822697146121,5,-,-,2018-08-22 00:00:00,2018-08-22 21:43:33,1,boleto,1,112.98,2,b84520a57891e7a8ae2c68741dcc7146,6560211a19b47992c3666cc44a7e94c0,2018-08-17 03:15:16,45,9.49,1,boleto,1,112.98,5849,sao paulo,SP,relogios_presentes,56,660,3,250,16,2,20,watches_gifts,5,Light,Small,Light-Small
8a3083e3f5500b50d6f4f3003604df87,ad1ba362b0121447945a47fe07fef188,37950,sao sebastiao do paraiso,MG,d1a22a39de10a881fa47a509a1a9073b,delivered,2017-11-24 17:16:46,2017-11-24 20:53:47,2017-11-27 16:15:46,2017-12-06 22:48:41,2017-12-15 00:00:00,460ad7a4227efe77ac89e7425a8382ea,4,-,-,2017-12-07 00:00:00,2017-12-08 14:13:31,1,credit_card,6,64.1,1,7787f84dcc43ef95552cd95d2c86f418,6560211a19b47992c3666cc44a7e94c0,2017-11-30 20:53:47,49,15.1,1,credit_card,6,64.1,5849,sao paulo,SP,relogios_presentes,54,190,1,200,16,2,11,watches_gifts,9,Light,Small,Light-Small
ada5afd2b1b1258fd60f507e92a63472,fbd58f38cbd2989e434b148f479534c8,35774,paraopeba,MG,3d8e9d3181857e64419e3f61f40f9645,delivered,2017-07-21 12:17:26,2017-07-25 03:30:25,2017-07-26 09:45:58,2017-08-01 20:27:33,2017-08-14 00:00:00,bad063382307b5cf55da8c58a0238798,1,-,"Comprei um relógio e na descrição do produto estava acompanhando a caixinha e não veio. Me senti enganada! Enviei email e não tive retorno.
A descrição do produto deve ser real para os consumidores.",2017-08-02 00:00:00,2017-08-03 11:40:57,1,boleto,1,70.14,1,57f2bc497c1a3ebe41ba7a06d78ed159,6560211a19b47992c3666cc44a7e94c0,2017-07-31 03:30:25,55,15.14,1,boleto,1,70.14,5849,sao paulo,SP,relogios_presentes,55,336,4,250,16,2,20,watches_gifts,6,Light,Small,Light-Small
1d331c1175b7c788fdf7b44b6dc26627,b134d1fbe77d00a8e0a4ce9d855ea927,20780,rio de janeiro,RJ,897abc3130a6d4c579a229b45349f611,delivered,2018-08-03 13:02:13,2018-08-03 13:15:12,2018-08-06 11:08:00,2018-08-09 10:51:37,2018-08-20 00:00:00,78b71c155969e2366f6c2ec2dccb868b,4,recomendado,É SEMPRE O PRAZER COMPRAR NA AS lannister......,2018-08-10 00:00:00,2018-08-10 19:21:50,1,credit_card,8,84.58,1,5115d8cd6438c0c4d8abdf38d5d41ebd,6560211a19b47992c3666cc44a7e94c0,2018-08-07 13:15:12,69,15.58,1,credit_card,8,84.58,5849,sao paulo,SP,fashion_bolsas_e_acessorios,46,128,7,350,16,2,20,fashion_bags_accessories,3,Light,Small,Light-Small
a37646debdb792ee5aaf18cf5da53717,f51f170e51593c5e550ef7ae616f1517,40323,salvador,BA,7f29d1dcde28ba1c61a2f92068efdb9d,delivered,2018-08-01 15:26:34,2018-08-01 16:00:09,2018-08-03 13:48:00,2018-08-09 21:05:09,2018-08-22 00:00:00,ea4b9abf93706b56dc0e7f882951c233,5,-,Produto conforme pedido.,2018-08-10 00:00:00,2018-08-11 12:16:48,1,credit_card,3,86.41,1,eccec1984cb1d214cc91f3168b113958,6560211a19b47992c3666cc44a7e94c0,2018-08-03 16:00:09,69,17.41,1,credit_card,3,86.41,5849,sao paulo,SP,relogios_presentes,59,89,3,200,16,2,11,watches_gifts,6,Light,Small,Light-Small
